sample-id	group
TW-TS43-2m	T.j
TW-TS43-20m	T.j
TW-TS43-48m	T.j
TW-A3-2m	T.k
TW-A3-20m	T.k
TW-A3-32m	T.k
TW-TS09-2m	T.l
TW-TS09-38m	T.l
TW-TS09-84m	T.l
TW-TS01-2m	T.m
TW-TS01-10m	T.m
TW-TS01-21m	T.m
TW-TS14-2m	T.n
TW-TS14-18m	T.n
TW-TS14-60m	T.n
TW-TS33-2m	T.o
TW-TS33-25m	T.o
TW-TS33-54m	T.o
TW-TS11-2m	T.p
TW-TS11-10m	T.p
TW-TS11-16m	T.p
TW-TS05-2m	T.q
TW-TS05-30m	T.q
TW-TS05-60m	T.q
TW-TS23-2m	T.r
TW-TS23-12m	T.r
TW-TS23-46m	T.r
TW-TS03-2m	T.s
TW-TS03-10m	T.s
TW-TS03-44m	T.s
HB-B14-3m	H.a
HB-B14-13m	H.a
HB-B14-22m	H.a
HB-N26-3m	H.b
HB-N26-20m	H.b
HB-N26-49m	H.b
HB-B11-3m	H.c
HB-B11-13m	H.c
HB-B11-26m	H.c
HB-N23-2m	H.d
HB-N23-12m	H.d
HB-N23-44m	H.d
HB-N20-3m	H.e
HB-N20-17m	H.e
HB-N05-3m	H.f
HB-N05-15m	H.f
HB-N05-60m	H.f
HB-N02-3m	H.g
HB-N02-14m	H.g
HB-N02-57m	H.g
HB-H38-3m	H.h
HB-H38-24m	H.h
HB-H38-69m	H.h
HB-H32-3m	H.i
HB-H02-3m	H.i
HB-H02-10m	H.i
HB-H02-38m	H.i
HB-H05-3m	H.j
HB-H05-16m	H.j
HB-H06-3m	H.k
HB-H06-11m	H.k
HB-H10-3m	H.l
HB-H10-10m	H.l
HB-H10-45m	H.l
HB-H11-3m	H.m
HB-H11-35m	H.m
HB-H11-73m	H.m
HB-H13-3m	H.n
HB-H13-10m	H.n
HB-H13-58m	H.n
HB-H15-3m	H.o
HB-H15-16m	H.o
HB-H18-3m	H.p
HB-H18-15m	H.p
HB-H18-28m	H.p
HB-H21-3m	H.q
HB-H21-31m	H.q
HB-H21-60m	H.q
HB-H23-3m	H.r
HB-H23-40m	H.r
HB-H23-77m	H.r
HB-H25-3m	H.s
HB-H25-45m	H.s
HB-H25-72m	H.s
HB-H28-3m	H.t
HB-H28-22m	H.t
HB-H28-62m	H.t
HB-H32-14m	H.u
HB-H32-27m	H.u
HB-N09-3m	H.v
HB-N09-18m	H.v
HB-N09-50m	H.v
HB-B04-3m	H.w
HB-B04-16m	H.w
BH-R5s.1-0m	BY.a
BH-R5b.1-35m	BY.a
BH-P1s.1-0m	BY.b
BH-P1b.1-13m	BY.b
YS-L5s.1-0m	BY.c
YS-L5b.1-25m	BY.c
YS-K5s.1-0m	BY.d
YS-K5b.1-48m	BY.d
YS-E4s.1-0m	BY.e
YS-E4b.1-30m	BY.e
BH-B8s.1-0m	BY.f
BH-B8b.1-18m	BY.f
BH-B6s.1-0m	BY.g
BH-B6b.1-23m	BY.g
BH-R5s-0m	BY.a
BH-R5b-35m	BY.a
BH-P1s-0m	BY.b
BH-P1b-13m	BY.b
YS-L5s-0m	BY.c
YS-L5b-25m	BY.c
YS-K5s-0m	BY.d
YS-K5b-48m	BY.d
YS-E4s-0m	BY.e
YS-E4b-30m	BY.e
BH-B8s-0m	BY.f
BH-B8b-18m	BY.f
BH-B6s-0m	BY.g
BH-B6b-23m	BY.g
ESC-15.1-5 m	E.a
ESC-14.1-5 m	E.a
ESC-K.1-5 m	E.a
ESC-9.1-5 m	E.a
ESC-12.1-5 m	E.a
ESC-10.1-5 m	E.a
ESC-3.1-5 m	E.a
ESC-1.1-5 m	E.a
ESC-8.1-5 m	E.a
ESC-5.1-5 m	E.a
ESC-K-5 m	E.a
ESC-9-5 m	E.a
ESC-31.1-80 m	E.a
ESC-30-15 m	E.a
ESC-19A.1-25 m	E.a
ESC-32.1-90 m	E.a
ESC-3-5 m	E.a
ESC-1-5 m	E.a
ESC-8-5 m	E.a
ESC-5-5 m	E.a
ESC-32.1-5 m	E.a
ESC-31.1-5 m	E.a
ESC-27.1-5 m	E.a
ESC-26.1-5 m	E.a
ESC-24.1-5 m	E.a
ESC-23.1-5 m	E.a
ESC-22.1-5 m	E.a
ESC-21.1-5 m	E.a
ESC-20.1-5 m	E.a
ESC-1A.1-5 m	E.a
ESC-28.1-53 m	E.a
ESC-29.1-55 m	E.a
ESC-21.1-48 m	E.a
ESC-22.1-60 m	E.a
ESC-19.1-33 m	E.a
ESC-20.1-45 m	E.a
ESC-26.1-95 m	E.a
ESC-27.1-85 m	E.a
ESC-23.1-73 m	E.a
ESC-24.1-100 m	E.a
ESC-28-53 m	E.a
ESC-29-55 m	E.a
ESC-26-95 m	E.a
ESC-27-85 m	E.a
ESC-32-90 m	E.a
ESC-19A-25 m	E.a
ESC-30.1-15 m	E.a
ESC-31-80 m	E.a
ESC-4.1-5 m	E.a
ESC-2.1-5 m	E.a
ESC-35.1-5 m	E.a
ESC-34.1-5 m	E.a
ESC-32-5 m	E.a
ESC-31-5 m	E.a
ESC-27-5 m	E.a
ESC-26-5 m	E.a
ESC-7.1-5 m	E.a
ESC-6.1-5 m	E.a
ESC-5.1-10 m	E.a
ESC-3.1-27 m	E.a
ESC-9.1-55 m	E.a
ESC-8.1-50 m	E.a
ESC-30.1-5 m	E.a
ESC-29.1-5 m	E.a
ESC-1.1-30 m	E.a
ESC-19A.1-5 m	E.a
ESC-10.1-67 m	E.a
ESC-K.1-80 m	E.a
ESC-10-5 m	E.a
ESC-12-5 m	E.a
ESC-14-5 m	E.a
ESC-15-5 m	E.a
ESC-1A-5 m	E.a
ESC-20-5 m	E.a
ESC-21-5 m	E.a
ESC-22-5 m	E.a
ESC-23-5 m	E.a
ESC-24-5 m	E.a
ESC-17.1-5 m	E.a
ESC-18.1-5 m	E.a
ESC-6-5 m	E.a
ESC-7-5 m	E.a
ESC-2-5 m	E.a
ESC-4-5 m	E.a
ESC-34-5 m	E.a
ESC-35-5 m	E.a
ESC-19.1-5 m	E.a
ESC-28.1-5 m	E.a
ESC-35.1-25 m	E.a
ESC-6.1-25 m	E.a
ESC-27.1-23 m	E.a
ESC-31.1-40 m	E.a
ESC-32.1-50 m	E.a
ESC-34.1-40 m	E.a
ESC-22.1-25 m	E.a
ESC-23.1-27 m	E.a
ESC-24.1-45 m	E.a
ESC-26.1-36 m	E.a
ESC-34-40 m	E.a
ESC-32-50 m	E.a
ESC-31-40 m	E.a
ESC-27-23 m	E.a
ESC-15.1-90 m	E.a
ESC-7.1-80 m	E.a
ESC-6-25 m	E.a
ESC-35-25 m	E.a
ESC-18.1-30 m	E.a
ESC-17.1-65 m	E.a
ESC-24-100 m	E.a
ESC-23-73 m	E.a
ESC-18-30 m	E.a
ESC-17-65 m	E.a
ESC-15-90 m	E.a
ESC-7-80 m	E.a
ESC-22-60 m	E.a
ESC-21-48 m	E.a
ESC-20-45 m	E.a
ESC-19-33 m	E.a
ESC-14.1-50 m	E.a
ESC-19A-5 m	E.a
ESC-1-30 m	E.a
ESC-29-5 m	E.a
ESC-30-5 m	E.a
ESC-19-5 m	E.a
ESC-28-5 m	E.a
ESC-17-5 m	E.a
ESC-18-5 m	E.a
ESC-24-45 m	E.a
ESC-3-27 m	E.a
ESC-5-10 m	E.a
ESC-26-36 m	E.a
ESC-12.1-50 m	E.a
ESC-14-50 m	E.a
ESC-12-50 m	E.a
ESC-1A.1-65 m	E.a
ESC-15.1-24 m	E.a
ESC-9-55 m	E.a
ESC-8-50 m	E.a
ESC-10-67 m	E.a
ESC-K-80 m	E.a
ESC-20.1-20 m	E.a
ESC-21.1-20 m	E.a
ESC-22-25 m	E.a
ESC-23-27 m	E.a
ESC-21-20 m	E.a
ESC-20-20 m	E.a
ESC-15-24 m	E.a
ESC-1A-65 m	E.a
ESC-14.2-50 m	E.a
ESC-12.2-50 m	E.a
ESC-1A.2-65 m	E.a
ESC-15.2-24 m	E.a
ESC-21.2-20 m	E.a
ESC-20.2-20 m	E.a
ESC-23.2-27 m	E.a
ESC-22.2-25 m	E.a
ESC-26.2-36 m	E.a
ESC-24.2-45 m	E.a
ESC-20.2-45 m	E.a
ESC-19.2-33 m	E.a
ESC-27.2-85 m	E.a
ESC-26.2-95 m	E.a
ESC-24.2-100 m	E.a
ESC-23.2-73 m	E.a
ESC-18.2-5 m	E.a
ESC-17.2-5 m	E.a
ESC-7.2-5 m	E.a
ESC-6.2-5 m	E.a
ESC-4.2-5 m	E.a
ESC-2.2-5 m	E.a
ESC-35.2-5 m	E.a
ESC-34.2-5 m	E.a
ESC-30.2-15 m	E.a
ESC-28.2-5 m	E.a
ESC-19.2-5 m	E.a
ESC-31.2-80 m	E.a
ESC-18.2-30 m	E.a
ESC-35.2-25 m	E.a
ESC-6.2-25 m	E.a
ESC-19A.2-25 m	E.a
ESC-22.2-60 m	E.a
ESC-21.2-48 m	E.a
ESC-32.2-50 m	E.a
ESC-34.2-40 m	E.a
ESC-27.2-23 m	E.a
ESC-31.2-40 m	E.a
ESC-7.2-80 m	E.a
ESC-15.2-90 m	E.a
ESC-31.2-5 m	E.a
ESC-32.2-5 m	E.a
ESC-26.2-5 m	E.a
ESC-27.2-5 m	E.a
ESC-23.2-5 m	E.a
ESC-24.2-5 m	E.a
ESC-21.2-5 m	E.a
ESC-22.2-5 m	E.a
ESC-1A.2-5 m	E.a
ESC-20.2-5 m	E.a
ESC-29.2-5 m	E.a
ESC-30.2-5 m	E.a
ESC-19A.2-5 m	E.a
ESC-1.2-30 m	E.a
ESC-3.2-27 m	E.a
ESC-5.2-10 m	E.a
ESC-8.2-50 m	E.a
ESC-9.2-55 m	E.a
ESC-K.2-80 m	E.a
ESC-10.2-67 m	E.a
ESC-29.2-55 m	E.a
ESC-32.2-90 m	E.a
ESC-17.2-65 m	E.a
ESC-10.2-5 m	E.a
ESC-12.2-5 m	E.a
ESC-9.2-5 m	E.a
ESC-K.2-5 m	E.a
ESC-5.2-5 m	E.a
ESC-8.2-5 m	E.a
ESC-1.2-5 m	E.a
ESC-3.2-5 m	E.a
ESC-14.2-5 m	E.a
ESC-28.2-53 m	E.a
ESC-15.2-5 m	E.a
YS-S71	YS
YS-S70	YS
YS-S49	YS
YS-S48	YS
YS-S47	YS
YS-S46	YS
YS-S54	YS
YS-S53	YS
YS-S51	YS
YS-S50	YS
YS-S69	YS
YS-S68	YS
YS-S40	YS
YS-W42	YS
YS-W41	YS
YS-W40	YS
YS-W39	YS
YS-S45	YS
YS-S44	YS
YS-S43	YS
YS-S42	YS
YS-W45	YS
YS-W44	YS
YS-S41	YS


