sample-id	group
TW-TSC7-2m	T.a
TW-TSC7-30m	T.a
TW-TSC7-60m	T.a
TW-TSC10-2m	T.a
TW-TSC10-20m	T.a
TW-TSC10-60m	T.a
TW-TSC4-2m	T.a
TW-TSC4-20m	T.a
TW-TSC4-48m	T.a
TW-TS41-1.8m	T.a
TW-TS41-5m	T.a
TW-TS41-9m	T.a
TW-TS21-1.5m	T.a
TW-TS21-5m	T.a
TW-TS21-13m	T.a
TW-A7-2m	T.b
TW-A7-10m	T.b
TW-A7-28m	T.b
TW-TS13-2m	T.c
TW-TS13-20m	T.c
TW-TS13-50m	T.c
TW-A11-2m	T.d
TW-A11-90m	T.d
TW-A11-890m	T.d
TW-TSC5-2m	T.e
TW-TSC5-20m	T.e
TW-TSC5-60m	T.e
TW-A1-2m	T.f
TW-A1-20m	T.f
TW-A1-39m	T.f
TW-TS31-2m	T.g
TW-TS31-5m	T.g
TW-TS31-8m	T.g
TW-TS07-2m	T.h
TW-TS07-30m	T.h
TW-TS07-70m	T.h
TW-B09-2m	T.i
TW-B09-75m	T.i
TW-B09-680m	T.i
